Account name,Account type,Detail type,Lock
Cans on Hand - Elizabethtown - 5167,Bank,Cash on hand,No
Cash - drawer - previous owner,Bank,Cash on hand,No
Cash on Hand - Berkshire OH,Bank,Cash on hand,No
Cash on hand - Catlettsburg KY,Bank,Cash on hand,No
Cash on Hand - Columbus OH,Bank,Cash on hand,No
Cash on Hand - Elizabethtown-KY,Bank,Cash on hand,No
Cash on Hand - Findlay,Bank,Cash on hand,No
Cash on Hand - Ganesh,Bank,Cash on hand,No
Cash on Hand - Jeffersonville,Bank,Cash on hand,No
Cash on Hand - Kamal,Bank,Cash on hand,No
Cash on Hand - Marietta,Bank,Cash on hand,No
Cash on Hand - Marietta Hotel,Bank,Cash on hand,No
"Cash on Hand - Perrysburg,OH",Bank,Cash on hand,No
Cash on Hand - Youngstown,Bank,Cash on hand,No
Cash Paid Outs,Bank,Cash on hand,No
Cash-Unsettled,Bank,Cash on hand,No
Chase Ac 1162,Bank,Checking,No
Chase Ac- 9788 Findlay(NB),Bank,Checking,No
Check received (Sales),Bank,Cash on hand,No
Company Transfer,Bank,Cash on hand,No
Credit Card Swipe and Direct Deposit,Bank,Cash on hand,No
Daily Sales Variance,Bank,Cash on hand,No
Den Ohio - Previous owner,Bank,Cash on hand,No
Denn Ohio LLC (Previous Owner),Bank,Cash on hand,No
FC Bank AC# 0606,Bank,Cash on hand,No
FC Bank Ac#0167 - Nights and Bites,Bank,Checking,No
FCB - Cattletsburgh ac# 7079,Bank,Checking,No
FCB - Columbus ac# 7037,Bank,Checking,No
FCB - ETown ac# 7045,Bank,Checking,No
FCB - Jeffersonville ac# 2945,Bank,Checking,No
FCB - Perrysburgh ac# 7061,Bank,Checking,No
FCB - Sunbury ac# 7053,Bank,Checking,No
Front Desk-Guest Ledger,Bank,Cash on hand,No
Guest Ledger Balance,Bank,Cash on hand,No
Marietta Restaurant llc (1842) - 1,Bank,Checking,No
Sam Ashnani - Previous owner,Bank,Cash on hand,No
TryCake POS System,Bank,Checking,No
Welcome Diner (1678) - 1,Bank,Checking,No
Accounts Receivable (A/R),Accounts receivable (A/R),Accounts Receivable (A/R),No
Advance for Purchase Dennys,Other Current Assets,Other Current Assets,No
Allowance for bad debts,Other Current Assets,Allowance for Bad Debts,No
Credit Sales,Other Current Assets,Other Current Assets,No
Credit Sales:Amendments - Doordash,Other Current Assets,Other Current Assets,No
Credit Sales:Credit card - Sales to Dennys,Other Current Assets,Other Current Assets,No
Credit Sales:Credit Card Sales - Amex,Other Current Assets,Other Current Assets,No
Credit Sales:Credit card Sales - Marietta Hotel,Other Current Assets,Other Current Assets,No
Credit Sales:Direct Bill,Other Current Assets,Other Current Assets,No
Credit Sales:Doordash - Sales,Other Current Assets,Other Current Assets,No
Credit Sales:DoorDash - VRB,Other Current Assets,Other Current Assets,No
Credit Sales:DoorDash - VRBUR,Other Current Assets,Other Current Assets,No
Credit Sales:Doordash - VRM,Other Current Assets,Other Current Assets,No
Credit Sales:Doordash - VRNAT,Other Current Assets,Other Current Assets,No
Credit Sales:Food sales In Gift Card,Other Current Assets,Other Current Assets,No
Credit Sales:Gift Card - Sales,Other Current Assets,Other Current Assets,No
Credit Sales:GrubHub - sales,Other Current Assets,Other Current Assets,No
Credit Sales:Grubhub - VRBUR,Other Current Assets,Other Current Assets,No
Credit Sales:Grubhub - VRM,Other Current Assets,Other Current Assets,No
Credit Sales:Grubhub - VRNAT,Other Current Assets,Other Current Assets,No
Credit Sales:Grubhub- VRB,Other Current Assets,Other Current Assets,No
Credit Sales:OLO Sales,Other Current Assets,Other Current Assets,No
Credit Sales:QR Pay - Sales,Other Current Assets,Other Current Assets,No
Credit Sales:Uber Eats - Sales,Other Current Assets,Other Current Assets,No
Credit Sales:Uber Eats - VRBUR,Other Current Assets,Other Current Assets,No
Credit Sales:Uber Eats - VRM,Other Current Assets,Other Current Assets,No
Credit Sales:Uber Eats VRM - Sales,Other Current Assets,Other Current Assets,No
Credit Sales:UberEat - VR,Other Current Assets,Other Current Assets,No
Credit Sales:UberEat- VRNAT,Other Current Assets,Other Current Assets,No
Credit Sales:Web Payment,Other Current Assets,Other Current Assets,No
Denny's FLIP Agreement,Other Current Assets,Other Current Assets,No
Dennys Purchase -6 hotels,Other Current Assets,Loans to Others,No
Employee cash advances,Other Current Assets,Employee Cash Advances,No
Equipment Purchases,Other Current Assets,Inventory,No
Equity to be paid,Other Current Assets,Other Current Assets,No
Food item Purchases,Other Current Assets,Inventory,No
House Charges - Findlay,Other Current Assets,Other Current Assets,No
Inventory,Other Current Assets,Inventory,No
Inventory Asset,Other Current Assets,Inventory,No
Jordan Account,Other Current Assets,Other Current Assets,No
Loans to officers,Other Current Assets,Loans To Officers,No
Loans to others,Other Current Assets,Loans to Others,No
Loans to shareholders,Other Current Assets,Loans to Stockholders,No
Marietta Hotel - exp,Other Current Assets,Other Current Assets,No
Marietta Hotels - Expenses Reim,Other Current Assets,Loans to Others,No
Other Current Assets,Other Current Assets,Other Current Assets,No
Payroll Advance paid,Other Current Assets,Employee Cash Advances,No
Prepaid expenses,Other Current Assets,Prepaid Expenses,No
Purchases - 2,Other Current Assets,Inventory,No
Purchases - 3,Other Current Assets,Inventory,No
Purchases - Webers,Other Current Assets,Inventory,No
Real estate loans to others,Other Current Assets,Investment - Mortgage/Real Estate Loans,No
Richton - Loan,Other Current Assets,Loans to Others,No
Salary Advance,Other Current Assets,Other Current Assets,No
Tax exempt investments,Other Current Assets,Investment - Tax-Exempt Securities,No
Third party Sales - No Tax,Other Current Assets,Other Current Assets,No
U.S. savings bonds and investments,Other Current Assets,Investment - U.S. Government Obligations,No
Uncategorized Asset,Other Current Assets,Other Current Assets,No
