Date,Store,Field,Value
20260905,5164: Berkshire OH,Net Sales,3040.51
20260905,5164: Berkshire OH,Total Sales Tax,203.18
20260905,5164: Berkshire OH,Total Discounts,85.17
20260905,5164: Berkshire OH,Tender: Door Dash,16.07
20260905,5164: Berkshire OH,Tender: Doordash VRB,13.59
20260905,5164: Berkshire OH,Credit Tips Received,359.54
20260905,5164: Berkshire OH,Tender: Online,100.00
20260905,5164: Berkshire OH,Tender: Master Card,770.89
20260905,5164: Berkshire OH,Tender: Visa,1140.17
20260905,5164: Berkshire OH,Tender: Debit,631.17
20260905,5164: Berkshire OH,Tender: American Express,93.10
20260905,5164: Berkshire OH,Tender: Gift Card,6.94
20260905,5164: Berkshire OH,Tender: Cash,831.30
20260905,5164: Berkshire OH,Credit Tips Paid,386.68
20260905,5164: Berkshire OH,Online Gross Sales,94.72
20260905,5165: Perrysburg OH,Net Sales,2382.08
20260905,5165: Perrysburg OH,Total Sales Tax,147.57
20260905,5165: Perrysburg OH,Total Discounts,84.24
20260905,5165: Perrysburg OH,Tender: Door Dash,127.31
20260905,5165: Perrysburg OH,Credit Tips Received,225.28
20260905,5165: Perrysburg OH,Tender: Uber Eats,21.87
20260905,5165: Perrysburg OH,Tender: Online,82.74
20260905,5165: Perrysburg OH,Tender: Master Card,259.06
20260905,5165: Perrysburg OH,Tender: Visa,607.91
20260905,5165: Perrysburg OH,Tender: Discover,102.23
20260905,5165: Perrysburg OH,Tender: Debit,520.71
20260905,5165: Perrysburg OH,Tender: American Express,111.12
20260905,5165: Perrysburg OH,Tender: Cash,924.98
20260905,5165: Perrysburg OH,Credit Tips Paid,449.75
20260905,5165: Perrysburg OH,Online Gross Sales,80.13
20260905,5166: Jeffersonville OH,Net Sales,2959.52
20260905,5166: Jeffersonville OH,Total Sales Tax,174.41
20260905,5166: Jeffersonville OH,Total Discounts,70.57
20260905,5166: Jeffersonville OH,Tender: Door Dash,19.96
20260905,5166: Jeffersonville OH,Credit Tips Received,340.35
20260905,5166: Jeffersonville OH,Tender: Online,66.58
20260905,5166: Jeffersonville OH,Tender: Master Card,951.28
20260905,5166: Jeffersonville OH,Tender: Visa,1278.38
20260905,5166: Jeffersonville OH,Tender: Discover,19.55
20260905,5166: Jeffersonville OH,Tender: Debit,373.31
20260905,5166: Jeffersonville OH,Tender: American Express,77.23
20260905,5166: Jeffersonville OH,Tender: Gift Card,40.87
20260905,5166: Jeffersonville OH,Tender: Cash,647.12
20260905,5166: Jeffersonville OH,Credit Tips Paid,202.86
20260905,5166: Jeffersonville OH,Online Gross Sales,62.54
20260905,5167: Elizabethtown KY,Net Sales,2812.16
20260905,5167: Elizabethtown KY,Total Sales Tax,228.29
20260905,5167: Elizabethtown KY,Total Discounts,73.02
20260905,5167: Elizabethtown KY,Tender: Door Dash,154.31
20260905,5167: Elizabethtown KY,Tender: Doordash VRB,41.79
20260905,5167: Elizabethtown KY,Credit Tips Received,238.59
20260905,5167: Elizabethtown KY,Tender: Uber Eats,100.41
20260905,5167: Elizabethtown KY,Tender: Uber Eats VR,55.51
20260905,5167: Elizabethtown KY,Tender: Online,89.52
20260905,5167: Elizabethtown KY,Tender: Master Card,290.69
20260905,5167: Elizabethtown KY,Tender: Visa,1537.56
20260905,5167: Elizabethtown KY,Tender: Discover,89.64
20260905,5167: Elizabethtown KY,Tender: Debit,402.21
20260905,5167: Elizabethtown KY,Tender: American Express,40.27
20260905,5167: Elizabethtown KY,Tender: Gift Card,19.27
20260905,5167: Elizabethtown KY,Tender: Cash,466.86
20260905,5167: Elizabethtown KY,Credit Tips Paid,225.56
20260905,5167: Elizabethtown KY,Online Gross Sales,88.39
20260905,5168: Catlettsburg KY,Net Sales,3544.02
20260905,5168: Catlettsburg KY,Total Sales Tax,212.68
20260905,5168: Catlettsburg KY,Total Discounts,68.16
20260905,5168: Catlettsburg KY,Tender: Door Dash,54.63
20260905,5168: Catlettsburg KY,Credit Tips Received,345.48
20260905,5168: Catlettsburg KY,Tender: Uber Eats,20.85
