Journal Date,Journal No.,Account,Debits,Credits,Description,Location
08/26/2026,Dinv0826-5164,Marketing & Franchise Fees:Franchise Royalties,537.34,,IV-11168047 - Royalty,5164-Berkshire OH
08/26/2026,Dinv0826-5164,Marketing & Franchise Fees:Marketing Fees,644.81,,IV-11168047 - Advertising,5164-Berkshire OH
08/26/2026,Dinv0826-5164,Marketing & Franchise Fees:BBF Investment Addtl,214.94,,IV-11168047 - Additional BBF Investment,5164-Berkshire OH
08/26/2026,Dinv0826-5164,Marketing & Franchise Fees:Technology Fee,58.85,,IV-11168047 - Help Desk Support; IV-11168047 - Help Desk Support - Software,5164-Berkshire OH
08/26/2026,Dinv0826-5164,Marketing & Franchise Fees,54.0,,IV-11168047 - No Kid Hungry Collections,5164-Berkshire OH
08/26/2026,Dinv0826-5164,Occupancy:Rent,1289.62,,IV-11168047 - Pilot / Flying J Percentage Rent,5164-Berkshire OH
08/26/2026,Dinv0826-5164,Denny's Inc,,2799.56,IV-11168047 - Royalty; IV-11168047 - Advertising; IV-11168047 - Additional BBF Investment; IV-11168047 - Help Desk Support; IV-11168047 - Help Desk Support - Software; IV-11168047 - No Kid Hungry Collections; IV-11168047 - Pilot / Flying J Percentage Rent,5164-Berkshire OH
08/26/2026,Dinv0826-5165,Marketing & Franchise Fees:Franchise Royalties,487.8,,IV-11167824 - Royalty,5165-Perrysburg OH
08/26/2026,Dinv0826-5165,Marketing & Franchise Fees:Marketing Fees,585.36,,IV-11167824 - Advertising,5165-Perrysburg OH
08/26/2026,Dinv0826-5165,Marketing & Franchise Fees:BBF Investment Addtl,195.12,,IV-11167824 - Additional BBF Investment,5165-Perrysburg OH
08/26/2026,Dinv0826-5165,Marketing & Franchise Fees:Technology Fee,58.71,,IV-11167824 - Help Desk Support; IV-11167824 - Help Desk Support - Software,5165-Perrysburg OH
08/26/2026,Dinv0826-5165,Marketing & Franchise Fees,6.0,,IV-11167824 - No Kid Hungry Collections,5165-Perrysburg OH
08/26/2026,Dinv0826-5165,Occupancy:Rent,585.36,,IV-11167824 - Pilot / Flying J Percentage Rent,5165-Perrysburg OH
08/26/2026,Dinv0826-5165,Denny's Inc,,1918.35,IV-11167824 - Royalty; IV-11167824 - Advertising; IV-11167824 - Additional BBF Investment; IV-11167824 - Help Desk Support; IV-11167824 - Help Desk Support - Software; IV-11167824 - No Kid Hungry Collections; IV-11167824 - Pilot / Flying J Percentage Rent,5165-Perrysburg OH
08/26/2026,Dinv0826-5166,Marketing & Franchise Fees:Franchise Royalties,460.9,,IV-11167559 - Royalty,5166-Jeffersonville
08/26/2026,Dinv0826-5166,Marketing & Franchise Fees:Marketing Fees,553.07,,IV-11167559 - Advertising,5166-Jeffersonville
08/26/2026,Dinv0826-5166,Marketing & Franchise Fees:BBF Investment Addtl,184.36,,IV-11167559 - Additional BBF Investment,5166-Jeffersonville
08/26/2026,Dinv0826-5166,Marketing & Franchise Fees:Technology Fee,58.99,,IV-11167559 - Help Desk Support; IV-11167559 - Help Desk Support - Software,5166-Jeffersonville
08/26/2026,Dinv0826-5166,Occupancy:Rent,921.79,,IV-11167559 - Pilot / Flying J Percentage Rent,5166-Jeffersonville
08/26/2026,Dinv0826-5166,Denny's Inc,,2179.11,IV-11167559 - Royalty; IV-11167559 - Advertising; IV-11167559 - Additional BBF Investment; IV-11167559 - Help Desk Support; IV-11167559 - Help Desk Support - Software; IV-11167559 - Pilot / Flying J Percentage Rent,5166-Jeffersonville
08/26/2026,Dinv0826-5167,Marketing & Franchise Fees:Franchise Royalties,528.87,,IV-11167348 - Royalty,5167-Elizabethtown KY
08/26/2026,Dinv0826-5167,Marketing & Franchise Fees:Marketing Fees,634.65,,IV-11167348 - Advertising,5167-Elizabethtown KY
08/26/2026,Dinv0826-5167,Marketing & Franchise Fees:BBF Investment Addtl,211.55,,IV-11167348 - Additional BBF Investment,5167-Elizabethtown KY
08/26/2026,Dinv0826-5167,Marketing & Franchise Fees:Technology Fee,58.3,,IV-11167348 - Help Desk Support; IV-11167348 - Help Desk Support - Software,5167-Elizabethtown KY
