Journal No.,Journal Date,Account,Debits,Credits,Description,Name,Location
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,3263.53,,Cook,,5164-Berkshire OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Hourly Managers,54.83,,Diamond Shift Supervisor,,5164-Berkshire OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,1841.31,,Server,,5164-Berkshire OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,1482.08,,Cook Trainee,,5164-Berkshire OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,43.63,,Server Trainee,,5164-Berkshire OH
Pay0701,07/01/2026,Payroll Payable,,6685.38,Payroll Total,,5164-Berkshire OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,3255.95,,Cook,,5165-Perrysburg OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Hourly Managers,1055.70,,Diamond Shift Supervisor,,5165-Perrysburg OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,2276.11,,Server,,5165-Perrysburg OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Service Assistant,579.34,,Service Assistant,,5165-Perrysburg OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,104.87,,Server Trainee,,5165-Perrysburg OH
Pay0701,07/01/2026,Payroll Payable,,7271.97,Payroll Total,,5165-Perrysburg OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,3348.97,,Cook,,5166-Jeffersonville OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Host/Hostess,940.88,,Host/Hostess,,5166-Jeffersonville OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,78.88,,Premium Server,,5166-Jeffersonville OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,1615.32,,Server,,5166-Jeffersonville OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Service Assistant,373.00,,Service Assistant,,5166-Jeffersonville OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,44.37,,Server Trainee,,5166-Jeffersonville OH
Pay0701,07/01/2026,Payroll Payable,,6401.42,Payroll Total,,5166-Jeffersonville OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,2906.26,,Cook,,5167-Elizabethtown KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Host/Hostess,193.97,,Host/Hostess,,5167-Elizabethtown KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Hourly Managers,991.59,,Diamond Shift Coordinator,,5167-Elizabethtown KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,1074.54,,Server,,5167-Elizabethtown KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,113.15,,Server-Min Wage,,5167-Elizabethtown KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Service Assistant,804.35,,Service Assistant,,5167-Elizabethtown KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,747.50,,Cook Trainee,,5167-Elizabethtown KY
Pay0701,07/01/2026,Payroll Payable,,6831.36,Payroll Total,,5167-Elizabethtown KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,3502.99,,Cook,,5168-Catlettsburg KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Hourly Managers,97.00,,Diamond Shift Coordinator,,5168-Catlettsburg KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Hourly Managers,957.65,,Diamond Shift Supervisor,,5168-Catlettsburg KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,208.56,,Premium Server,,5168-Catlettsburg KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,713.52,,Server,,5168-Catlettsburg KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Service Assistant,125.40,,Service Assistant,,5168-Catlettsburg KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,307.00,,Cook Trainee,,5168-Catlettsburg KY
Pay0701,07/01/2026,Payroll Payable,,5912.12,Payroll Total,,5168-Catlettsburg KY
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,5947.80,,Cook,,5169-Columbus OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Host/Hostess,122.67,,Host/Hostess,,5169-Columbus OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Hourly Managers,625.07,,Diamond Shift Supervisor,,5169-Columbus OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,2056.07,,Server,,5169-Columbus OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Service Assistant,1061.37,,Service Assistant,,5169-Columbus OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,995.70,,Server Trainee,,5169-Columbus OH
Pay0701,07/01/2026,Payroll Payable,,10808.68,Payroll Total,,5169-Columbus OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,3780.84,,Cook,,7401-Youngstown OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Host/Hostess,163.53,,Host/Hostess,,7401-Youngstown OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Hourly Managers,1002.45,,Diamond Shift Coordinator,,7401-Youngstown OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Hourly Managers,699.00,,Diamond Shift Supervisor,,7401-Youngstown OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,453.33,,Premium Server,,7401-Youngstown OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,1375.47,,Server,,7401-Youngstown OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Service Assistant,1370.43,,Service Assistant,,7401-Youngstown OH
Pay0701,07/01/2026,Payroll Payable,,8845.05,Payroll Total,,7401-Youngstown OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,3099.48,,Cook,,9690-Marietta OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,580.16,,Premium Server,,9690-Marietta OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,1299.38,,Server,,9690-Marietta OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,133.65,,Server Trainee,,9690-Marietta OH
Pay0701,07/01/2026,Payroll Payable,,5112.67,Payroll Total,,9690-Marietta OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Cook & Kitchen,3709.04,,Cook,,9697-Findlay OH
Pay0701,07/01/2026,Payroll:Salaries & wages:SalaryM,543.36,,Managers Pay,,9697-Findlay OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Server,2554.15,,Server,,9697-Findlay OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Service Assistant,1675.88,,Service Assistant,,9697-Findlay OH
Pay0701,07/01/2026,Payroll:Salaries & wages:Training,127.16,,Host/Hostess Trainee,,9697-Findlay OH
