Date,Store,Field,Value
20260801,5164: Berkshire OH,Net Sales,3996.83
20260801,5164: Berkshire OH,Total Sales Tax,259.41
20260801,5164: Berkshire OH,Total Discounts,108.72
20260801,5164: Berkshire OH,Major Category: Gift Card,
20260801,5164: Berkshire OH,Tender: Door Dash,206.44
20260801,5164: Berkshire OH,Tender: Doordash Banda Burrito,
20260801,5164: Berkshire OH,Tender: Doordash VRB,
20260801,5164: Berkshire OH,Tender: Doordash VRM,
20260801,5164: Berkshire OH,Tender: Doordash Nathans,
20260801,5164: Berkshire OH,Credit Tips Received,465.87
20260801,5164: Berkshire OH,Tender: Uber Eats,6.29
20260801,5164: Berkshire OH,Tender: Uber Eats Banda Burrito,
20260801,5164: Berkshire OH,Tender: Uber Eats VR,
20260801,5164: Berkshire OH,Tender: Uber Eats VRM,
20260801,5164: Berkshire OH,Tender: Uber Eats Nathans,
20260801,5164: Berkshire OH,Tender: Grub Hub,
20260801,5164: Berkshire OH,Tender: Grubhub Banda Burrito,
20260801,5164: Berkshire OH,Tender: Grubhub VRB,
20260801,5164: Berkshire OH,Tender: Grubhub VRM,
20260801,5164: Berkshire OH,Tender: QR Pay,
20260801,5164: Berkshire OH,Tender: Online,83.09
20260801,5164: Berkshire OH,Tender: Master Card,860.06
20260801,5164: Berkshire OH,Tender: Visa,1698.32
20260801,5164: Berkshire OH,Tender: Discover,70.71
20260801,5164: Berkshire OH,Tender: Debit,1197.58
20260801,5164: Berkshire OH,Tender: American Express,50.50
20260801,5164: Berkshire OH,Tender: Gift Card,8.89
20260801,5164: Berkshire OH,Tender: Cash,540.23
20260801,5164: Berkshire OH,Credit Tips Paid,395.64
20260801,5164: Berkshire OH,Cash Paid Outs - Non Adjusting,61.32
20260801,5164: Berkshire OH,Cash Paid Outs - Sales Adjusting,
20260801,5164: Berkshire OH,Online Gross Sales,76.73
20260801,5165: Perrysburg OH,Net Sales,3837.84
20260801,5165: Perrysburg OH,Total Sales Tax,204.69
20260801,5165: Perrysburg OH,Total Discounts,156.48
20260801,5165: Perrysburg OH,Major Category: Gift Card,
20260801,5165: Perrysburg OH,Tender: Door Dash,223.37
20260801,5165: Perrysburg OH,Tender: Doordash Banda Burrito,
20260801,5165: Perrysburg OH,Tender: Doordash VRB,
20260801,5165: Perrysburg OH,Tender: Doordash VRM,
20260801,5165: Perrysburg OH,Tender: Doordash Nathans,
20260801,5165: Perrysburg OH,Credit Tips Received,489.06
20260801,5165: Perrysburg OH,Tender: Uber Eats,81.31
20260801,5165: Perrysburg OH,Tender: Uber Eats Banda Burrito,
20260801,5165: Perrysburg OH,Tender: Uber Eats VR,
20260801,5165: Perrysburg OH,Tender: Uber Eats VRM,
20260801,5165: Perrysburg OH,Tender: Uber Eats Nathans,
20260801,5165: Perrysburg OH,Tender: Grub Hub,
20260801,5165: Perrysburg OH,Tender: Grubhub Banda Burrito,
20260801,5165: Perrysburg OH,Tender: Grubhub VRB,
20260801,5165: Perrysburg OH,Tender: Grubhub VRM,
20260801,5165: Perrysburg OH,Tender: QR Pay,
20260801,5165: Perrysburg OH,Tender: Online,94.02
20260801,5165: Perrysburg OH,Tender: Master Card,812.52
20260801,5165: Perrysburg OH,Tender: Visa,1360.96
20260801,5165: Perrysburg OH,Tender: Discover,179.49
20260801,5165: Perrysburg OH,Tender: Debit,872.62
20260801,5165: Perrysburg OH,Tender: American Express,80.45
20260801,5165: Perrysburg OH,Tender: Gift Card,
20260801,5165: Perrysburg OH,Tender: Cash,826.85
20260801,5165: Perrysburg OH,Credit Tips Paid,639.48
20260801,5165: Perrysburg OH,Cash Paid Outs - Non Adjusting,
20260801,5165: Perrysburg OH,Cash Paid Outs - Sales Adjusting,
20260801,5165: Perrysburg OH,Online Gross Sales,85.44
20260801,5166: Jeffersonville OH,Net Sales,3992.61
20260801,5166: Jeffersonville OH,Total Sales Tax,239.46
20260801,5166: Jeffersonville OH,Total Discounts,73.46
20260801,5166: Jeffersonville OH,Major Category: Gift Card,
20260801,5166: Jeffersonville OH,Tender: Door Dash,85.89
20260801,5166: Jeffersonville OH,Tender: Doordash Banda Burrito,
20260801,5166: Jeffersonville OH,Tender: Doordash VRB,
20260801,5166: Jeffersonville OH,Tender: Doordash VRM,
20260801,5166: Jeffersonville OH,Tender: Doordash Nathans,
20260801,5166: Jeffersonville OH,Credit Tips Received,384.52
20260801,5166: Jeffersonville OH,Tender: Uber Eats,
20260801,5166: Jeffersonville OH,Tender: Uber Eats Banda Burrito,
20260801,5166: Jeffersonville OH,Tender: Uber Eats VR,
20260801,5166: Jeffersonville OH,Tender: Uber Eats VRM,
20260801,5166: Jeffersonville OH,Tender: Uber Eats Nathans,
20260801,5166: Jeffersonville OH,Tender: Grub Hub,
20260801,5166: Jeffersonville OH,Tender: Grubhub Banda Burrito,
20260801,5166: Jeffersonville OH,Tender: Grubhub VRB,
20260801,5166: Jeffersonville OH,Tender: Grubhub VRM,
20260801,5166: Jeffersonville OH,Tender: QR Pay,
20260801,5166: Jeffersonville OH,Tender: Online,167.90
20260801,5166: Jeffersonville OH,Tender: Master Card,571.58
20260801,5166: Jeffersonville OH,Tender: Visa,2006.32
20260801,5166: Jeffersonville OH,Tender: Discover,36.00
20260801,5166: Jeffersonville OH,Tender: Debit,776.33
20260801,5166: Jeffersonville OH,Tender: American Express,36.88
20260801,5166: Jeffersonville OH,Tender: Gift Card,
20260801,5166: Jeffersonville OH,Tender: Cash,935.69
20260801,5166: Jeffersonville OH,Credit Tips Paid,384.52
20260801,5166: Jeffersonville OH,Cash Paid Outs - Non Adjusting,
20260801,5166: Jeffersonville OH,Cash Paid Outs - Sales Adjusting,
20260801,5166: Jeffersonville OH,Online Gross Sales,166.99
20260801,5167: Elizabethtown KY,Net Sales,5090.16
20260801,5167: Elizabethtown KY,Total Sales Tax,413.34
20260801,5167: Elizabethtown KY,Total Discounts,152.68
20260801,5167: Elizabethtown KY,Major Category: Gift Card,
20260801,5167: Elizabethtown KY,Tender: Door Dash,282.07
20260801,5167: Elizabethtown KY,Tender: Doordash Banda Burrito,
20260801,5167: Elizabethtown KY,Tender: Doordash VRB,124.85
20260801,5167: Elizabethtown KY,Tender: Doordash VRM,87.08
20260801,5167: Elizabethtown KY,Tender: Doordash Nathans,
20260801,5167: Elizabethtown KY,Credit Tips Received,713.13
20260801,5167: Elizabethtown KY,Tender: Uber Eats,
20260801,5167: Elizabethtown KY,Tender: Uber Eats Banda Burrito,
20260801,5167: Elizabethtown KY,Tender: Uber Eats VR,18.25
20260801,5167: Elizabethtown KY,Tender: Uber Eats VRM,46.45
20260801,5167: Elizabethtown KY,Tender: Uber Eats Nathans,
20260801,5167: Elizabethtown KY,Tender: Grub Hub,
20260801,5167: Elizabethtown KY,Tender: Grubhub Banda Burrito,
20260801,5167: Elizabethtown KY,Tender: Grubhub VRB,
20260801,5167: Elizabethtown KY,Tender: Grubhub VRM,
20260801,5167: Elizabethtown KY,Tender: QR Pay,
20260801,5167: Elizabethtown KY,Tender: Online,101.77
20260801,5167: Elizabethtown KY,Tender: Master Card,708.46
20260801,5167: Elizabethtown KY,Tender: Visa,2334.49
20260801,5167: Elizabethtown KY,Tender: Discover,44.71
20260801,5167: Elizabethtown KY,Tender: Debit,896.45
20260801,5167: Elizabethtown KY,Tender: American Express,52.08
20260801,5167: Elizabethtown KY,Tender: Gift Card,
20260801,5167: Elizabethtown KY,Tender: Cash,1519.97
20260801,5167: Elizabethtown KY,Credit Tips Paid,703.04
20260801,5167: Elizabethtown KY,Cash Paid Outs - Non Adjusting,
20260801,5167: Elizabethtown KY,Cash Paid Outs - Sales Adjusting,
20260801,5167: Elizabethtown KY,Online Gross Sales,92.19
20260801,5168: Catlettsburg KY,Net Sales,2784.75
20260801,5168: Catlettsburg KY,Total Sales Tax,167.12
20260801,5168: Catlettsburg KY,Total Discounts,60.05
20260801,5168: Catlettsburg KY,Major Category: Gift Card,
20260801,5168: Catlettsburg KY,Tender: Door Dash,42.95
20260801,5168: Catlettsburg KY,Tender: Doordash Banda Burrito,
20260801,5168: Catlettsburg KY,Tender: Doordash VRB,
20260801,5168: Catlettsburg KY,Tender: Doordash VRM,
20260801,5168: Catlettsburg KY,Tender: Doordash Nathans,
20260801,5168: Catlettsburg KY,Credit Tips Received,227.03
20260801,5168: Catlettsburg KY,Tender: Uber Eats,
20260801,5168: Catlettsburg KY,Tender: Uber Eats Banda Burrito,
20260801,5168: Catlettsburg KY,Tender: Uber Eats VR,
20260801,5168: Catlettsburg KY,Tender: Uber Eats VRM,
20260801,5168: Catlettsburg KY,Tender: Uber Eats Nathans,
20260801,5168: Catlettsburg KY,Tender: Grub Hub,
20260801,5168: Catlettsburg KY,Tender: Grubhub Banda Burrito,
20260801,5168: Catlettsburg KY,Tender: Grubhub VRB,
20260801,5168: Catlettsburg KY,Tender: Grubhub VRM,
20260801,5168: Catlettsburg KY,Tender: QR Pay,
20260801,5168: Catlettsburg KY,Tender: Online,135.16
20260801,5168: Catlettsburg KY,Tender: Master Card,401.15
20260801,5168: Catlettsburg KY,Tender: Visa,1040.05
20260801,5168: Catlettsburg KY,Tender: Discover,37.59
20260801,5168: Catlettsburg KY,Tender: Debit,550.99
20260801,5168: Catlettsburg KY,Tender: American Express,34.22
20260801,5168: Catlettsburg KY,Tender: Gift Card,
20260801,5168: Catlettsburg KY,Tender: Cash,936.79
20260801,5168: Catlettsburg KY,Credit Tips Paid,627.36
20260801,5168: Catlettsburg KY,Cash Paid Outs - Non Adjusting,36.15
20260801,5168: Catlettsburg KY,Cash Paid Outs - Sales Adjusting,
20260801,5168: Catlettsburg KY,Online Gross Sales,126.75
20260801,5169: Columbus OH,Net Sales,5389.23
20260801,5169: Columbus OH,Total Sales Tax,271.69
20260801,5169: Columbus OH,Total Discounts,76.45
20260801,5169: Columbus OH,Major Category: Gift Card,
20260801,5169: Columbus OH,Tender: Door Dash,617.47
20260801,5169: Columbus OH,Tender: Doordash Banda Burrito,
20260801,5169: Columbus OH,Tender: Doordash VRB,74.63
20260801,5169: Columbus OH,Tender: Doordash VRM,385.67
20260801,5169: Columbus OH,Tender: Doordash Nathans,
20260801,5169: Columbus OH,Credit Tips Received,518.06
20260801,5169: Columbus OH,Tender: Uber Eats,408.71
20260801,5169: Columbus OH,Tender: Uber Eats Banda Burrito,
20260801,5169: Columbus OH,Tender: Uber Eats VR,20.78
20260801,5169: Columbus OH,Tender: Uber Eats VRM,
20260801,5169: Columbus OH,Tender: Uber Eats Nathans,
20260801,5169: Columbus OH,Tender: Grub Hub,
20260801,5169: Columbus OH,Tender: Grubhub Banda Burrito,
20260801,5169: Columbus OH,Tender: Grubhub VRB,
20260801,5169: Columbus OH,Tender: Grubhub VRM,18.97
20260801,5169: Columbus OH,Tender: QR Pay,
20260801,5169: Columbus OH,Tender: Online,91.67
20260801,5169: Columbus OH,Tender: Master Card,1084.54
20260801,5169: Columbus OH,Tender: Visa,1950.57
20260801,5169: Columbus OH,Tender: Discover,165.94
20260801,5169: Columbus OH,Tender: Debit,780.09
20260801,5169: Columbus OH,Tender: American Express,27.80
20260801,5169: Columbus OH,Tender: Gift Card,3.87
20260801,5169: Columbus OH,Tender: Cash,548.27
20260801,5169: Columbus OH,Credit Tips Paid,364.62
20260801,5169: Columbus OH,Cash Paid Outs - Non Adjusting,150.00
20260801,5169: Columbus OH,Cash Paid Outs - Sales Adjusting,
20260801,5169: Columbus OH,Online Gross Sales,89.78
20260801,7401: Youngstown OH,Net Sales,6050.64
20260801,7401: Youngstown OH,Total Sales Tax,253.43
20260801,7401: Youngstown OH,Total Discounts,154.38
20260801,7401: Youngstown OH,Major Category: Gift Card,
20260801,7401: Youngstown OH,Tender: Door Dash,948.92
20260801,7401: Youngstown OH,Tender: Doordash Banda Burrito,54.96
20260801,7401: Youngstown OH,Tender: Doordash VRB,
20260801,7401: Youngstown OH,Tender: Doordash VRM,336.87
20260801,7401: Youngstown OH,Tender: Doordash Nathans,71.93
20260801,7401: Youngstown OH,Credit Tips Received,349.02
20260801,7401: Youngstown OH,Tender: Uber Eats,159.20
20260801,7401: Youngstown OH,Tender: Uber Eats Banda Burrito,
20260801,7401: Youngstown OH,Tender: Uber Eats VR,
20260801,7401: Youngstown OH,Tender: Uber Eats VRM,17.39
20260801,7401: Youngstown OH,Tender: Uber Eats Nathans,
20260801,7401: Youngstown OH,Tender: Grub Hub,55.01
20260801,7401: Youngstown OH,Tender: Grubhub Banda Burrito,
20260801,7401: Youngstown OH,Tender: Grubhub VRB,
20260801,7401: Youngstown OH,Tender: Grubhub VRM,
20260801,7401: Youngstown OH,Tender: QR Pay,
20260801,7401: Youngstown OH,Tender: Online,361.31
20260801,7401: Youngstown OH,Tender: Master Card,995.14
20260801,7401: Youngstown OH,Tender: Visa,1104.24
20260801,7401: Youngstown OH,Tender: Discover,124.97
20260801,7401: Youngstown OH,Tender: Debit,1060.37
20260801,7401: Youngstown OH,Tender: American Express,
20260801,7401: Youngstown OH,Tender: Gift Card,
20260801,7401: Youngstown OH,Tender: Cash,1362.78
20260801,7401: Youngstown OH,Credit Tips Paid,454.82
20260801,7401: Youngstown OH,Cash Paid Outs - Non Adjusting,
20260801,7401: Youngstown OH,Cash Paid Outs - Sales Adjusting,
20260801,7401: Youngstown OH,Online Gross Sales,370.12
20260801,9690: Marietta OH,Net Sales,2996.32
20260801,9690: Marietta OH,Total Sales Tax,188.84
20260801,9690: Marietta OH,Total Discounts,124.34
20260801,9690: Marietta OH,Major Category: Gift Card,
20260801,9690: Marietta OH,Tender: Door Dash,137.57
20260801,9690: Marietta OH,Tender: Doordash Banda Burrito,
20260801,9690: Marietta OH,Tender: Doordash VRB,24.87
20260801,9690: Marietta OH,Tender: Doordash VRM,
20260801,9690: Marietta OH,Tender: Doordash Nathans,
20260801,9690: Marietta OH,Credit Tips Received,241.13
20260801,9690: Marietta OH,Tender: Uber Eats,
20260801,9690: Marietta OH,Tender: Uber Eats Banda Burrito,
20260801,9690: Marietta OH,Tender: Uber Eats VR,
20260801,9690: Marietta OH,Tender: Uber Eats VRM,
20260801,9690: Marietta OH,Tender: Uber Eats Nathans,
20260801,9690: Marietta OH,Tender: Grub Hub,
